time,open,high,low,close,volume,ticker
2022-06-29,24310,24500,23560,23740,6052400,PVS
2022-06-30,23360,24030,22700,22700,6272000,PVS
2022-07-01,22700,23360,21370,23270,12138400,PVS
2022-07-04,23460,24030,23360,23560,5109900,PVS
2022-07-05,23740,24210,22510,22790,6438900,PVS
2022-07-06,22320,22320,21080,21180,12292000,PVS
2022-07-07,21080,21470,20510,20900,5948300,PVS
2022-07-08,21470,22130,21370,21550,3848200,PVS
2022-07-11,19470,22030,19470,21470,5366900,PVS
2022-07-12,19470,23270,19470,22990,10012300,PVS
2022-07-13,22700,22790,22130,22510,6117900,PVS
2022-07-14,22700,23170,22320,22510,4899800,PVS
2022-07-15,22790,22790,22030,22030,6070500,PVS
2022-07-18,22130,22510,21940,22030,6243900,PVS
2022-07-19,22220,23070,22220,22510,7282100,PVS
2022-07-20,22790,23360,22600,22700,6814800,PVS
2022-07-21,22700,22790,22420,22510,4000400,PVS
2022-07-22,22420,22990,22320,22420,5374800,PVS
2022-07-25,22420,22420,21370,21370,8460100,PVS
2022-07-26,21370,22030,21370,21650,2745000,PVS
2022-07-27,21370,21850,21370,21650,2966800,PVS
2022-07-28,21850,22420,21850,22130,4856100,PVS
2022-07-29,22220,22510,21850,21850,4743900,PVS
2022-08-01,19660,22420,19660,22320,6773600,PVS
2022-08-02,22220,23270,21850,22890,10527100,PVS
2022-08-03,22990,23640,22790,23070,6844900,PVS
2022-08-04,22890,23070,22420,22420,7404900,PVS
2022-08-05,22220,23930,21940,22990,10273800,PVS
2022-08-08,23740,23930,22990,23740,7792100,PVS
2022-08-09,23740,24030,23270,23360,6968500,PVS
2022-08-10,23360,24210,23170,24030,11287800,PVS
2022-08-11,24310,25070,24120,24500,13857600,PVS
2022-08-12,24690,25170,24410,24780,7255500,PVS
2022-08-15,24880,25260,24500,24980,8260900,PVS
2022-08-16,22510,25070,22510,24500,7774300,PVS
2022-08-17,24410,24600,23930,24210,8096100,PVS
2022-08-18,24210,24980,24210,24500,7855700,PVS
2022-08-19,24690,26120,24690,25550,12112200,PVS
2022-08-22,25550,26120,25170,25360,8642200,PVS
2022-08-23,25450,26870,25170,26400,14818800,PVS
2022-08-24,26300,26970,26300,26500,7653700,PVS
2022-08-25,26690,26870,25930,26120,7418100,PVS
2022-08-26,26120,26400,25170,25650,11292000,PVS
2022-08-29,25360,27540,24880,27540,16391900,PVS
2022-08-30,27830,28010,26870,26970,9866200,PVS
2022-08-31,26970,27160,26400,26400,9876200,PVS
2022-09-05,26400,27160,26120,26970,8272900,PVS
2022-09-06,27350,27440,26690,26690,7121000,PVS
2022-09-07,26690,26690,24410,24410,16375100,PVS
2022-09-08,24410,25170,23840,23840,11933700,PVS
2022-09-09,23930,25450,23930,25450,8085900,PVS
2022-09-12,25650,26690,25360,25450,10451500,PVS
2022-09-13,25450,26300,25450,26020,13120400,PVS
2022-09-14,25730,26500,25360,26400,12914000,PVS
2022-09-15,26500,26780,26020,26020,7200500,PVS
2022-09-16,25930,26020,25070,25450,9066000,PVS
2022-09-19,25550,25650,23360,23740,11725700,PVS
2022-09-20,23930,24690,23460,24690,6582100,PVS
2022-09-21,24690,25450,24120,25070,6059400,PVS
2022-09-22,24690,25450,24600,24980,7011000,PVS
2022-09-23,22510,25360,22510,24980,5582600,PVS
2022-09-26,22510,24690,22510,23460,10019400,PVS
2022-09-27,24050,24140,22570,23060,4269800,PVS
2022-09-28,23260,23560,22380,22380,6270800,PVS
2022-09-29,22770,23360,21990,22080,5503800,PVS
2022-09-30,22080,22870,21200,22770,7187100,PVS
2022-10-03,20510,22870,20510,21000,6072100,PVS
2022-10-04,21100,22870,21100,21490,6353100,PVS
2022-10-05,22080,22970,22080,22570,6940700,PVS
2022-10-06,23060,23360,21790,21790,6937200,PVS
2022-10-07,21790,22870,21100,22380,10579200,PVS
2022-10-10,22380,23950,22380,23650,7952700,PVS
2022-10-11,23950,23950,21400,21400,11632100,PVS
2022-10-12,20610,22970,20610,22380,5055400,PVS
2022-10-13,22570,22670,21790,22380,3851400,PVS
2022-10-14,22480,23260,22380,22870,6636000,PVS
2022-10-17,22570,23750,22180,23650,10069900,PVS
2022-10-18,23850,24140,23060,23260,7221700,PVS
2022-10-19,23260,23950,23060,23160,5595700,PVS
2022-10-20,23160,23650,23060,23260,4356800,PVS
2022-10-21,23360,23850,21400,21590,15248800,PVS
2022-10-24,21690,22380,20320,20320,9281500,PVS
2022-10-25,19830,21790,19630,20810,7193500,PVS
2022-10-26,18750,21300,18750,20610,3651900,PVS
2022-10-27,21490,22180,20710,22180,5650900,PVS
2022-10-28,20020,22380,20020,21690,5498900,PVS
2022-10-31,20610,22080,20410,21000,5727500,PVS
2022-11-01,20410,21690,20410,21100,3994900,PVS
2022-11-02,21200,22670,21200,22280,8628300,PVS
2022-11-03,22280,22570,21690,21790,3593100,PVS
2022-11-04,21590,21990,20410,20910,7368600,PVS
2022-11-07,20910,21990,20910,21200,7734300,PVS
2022-11-08,21400,22570,21100,22570,7652900,PVS
2022-11-09,21100,23460,21100,22770,11321000,PVS
2022-11-10,22080,22670,20610,21100,10804100,PVS
