time;PVS;PVG;PVC
07/12/2023;38800;9100,00;15600,00
08/12/2023;38800;9000,00;15600,00
11/12/2023;39500;9100,00;15700,00
12/12/2023;39400;9100,00;15700,00
13/12/2023;37900;9000,00;15200,00
14/12/2023;37700;9000,00;15000,00
15/12/2023;37500;9000,00;14900,00
18/12/2023;37400;8700,00;14900,00
19/12/2023;37900;9000,00;15100,00
20/12/2023;38400;9000,00;15200,00
21/12/2023;38200;9000,00;15100,00
22/12/2023;38300;8800,00;14900,00
25/12/2023;38500;8900,00;14900,00
26/12/2023;38800;9000,00;15200,00
27/12/2023;38700;9000,00;15200,00
28/12/2023;38300;9000,00;15000,00
29/12/2023;38000;9000,00;15000,00
